messages,Training_Testing
Ok well i was gonna say you are welcome to come to bob's house too,0
 why what's up,0
s home to c her.  Tom is waiting too.  Maybe u and Tom could come one day this week when she is home.,0
Carol Patrick commented on your status:,0
Stocked with pepsi lol. I'll get something diet in there too soon,0
Ok sorry to bother you,0
Want me to call when we r finishing up here?,0
(RE:)That would b tite if md n him wemt 4 pics,0
Possible lockout for NHL teams looming.,0
Yes.,0
K,0
Are you coming to training?,0
Alrighty keep me posted. Thank you for including me,0
I think 3 brothers will work on thurs,0
You goin late?,0
if it is possible.,0
How is ur day?,0
ked to my dad yet either!  Love you miss you bye.  lucy,0
yeah,0
The meatloaf pan is chipped.,0
Ok I'm trying to hook up my printer and it's telling me to press and hold the WPS button on the access point for 5 sec. Where is the WPS button? Is that on the router?,0
"He ... Strengthens the powerless. ~ Isaih 40: 29. This why i'm here.-smile', think and have beautiful day. ",0
Leaving now. Raining really bad out here.,0
Three brothers after the jam night?,0
So wed or fri,0
I'm late on.my way,0
Yeah be there in a few ,0
"No, they have a wedding to go to in minnesota.",0
heather mayes on your wall:,0
I sent her a message asking if she thinks they will keep her mom. waiting on a reply. I will keep you posted,0
"I am sure you are relieved too!  Once you are all done with everything, we need to spend some time together!  Miss you",0
Incoming,0
"Oh, i am so sorry. I hope he can reschedule her quickly.",0
Why use the trial version?,0
"Just to let u know again, yes we r still down for sandtrap mines. My text msgs haven't been going thru",0
Let me know when ur free. I am out of class,0
Well if I was I sure would help u eat some of the ribs,0
"No, thank you for your insight. I value your opinions as always. Thank you for caring.",0
My bad,0
Great! Have you heard/seen that I'm a dad now?,0
Not sure probably around 1 or 2 or so?,0
Are you up and dancing with your lovly wife. I'm thinking.dinner latter with aunt mary and howie. ?,0
"That's cool, I'll pick some up!",0
(RE:)Hey sexy sorry i  just got ur tx im cleanin up about 2 leave work hows ur day goin,0
yone who was over last night i showed everything to,0
What time did you leave & where are you? No rain here at all,0
Where r u? Herb shipmentÄ,0
I will most likely be up by 9am. ,0
Lolol I'll tell her,0
"Sorry for getting back to you do late, left my phone on table in other part of house. I am up if you are, otherwise I will text some details momentarily",0
Not sure yet,0
Yuppies....I gotta get a balance cuz I know I'm getting low...but at least I got a bunch of stuff paid off :-/,0
Anytime after 7,0
Hey cindy its michelle I need ur shopping advice u guys are queens of holiday shopping I wanted to get something from meijers and the sale starts at 6am w,0
"Do u remember anything that helped my back? It is really bad tooday, worse than ever",0
Got any plans for later?,0
May be a three brothers night,0
"Amber and I took a nap around 4pm, just woke up lol",0
hey u still got hookup for smack?,0
Yo teach! You done yet?,0
Your balance is $1052.54,0
K kewl,0
Give me a call when you have a chance.,0
she gotta have blow or crack ok?,0
Please tell me it posted :'(,0
We have been to Gettysburg but not Hershey ,0
Too early to call. She is gone,0
"FYI I'm home now. If Mike is with you invite him too. I have meatballs,  cupcake and brownies.:-D",0
She just went back to bed.,0
"I can't make it tonight, sorry. Already made plans. Thanks for the invite tho",0
"Should be able to copy an paste anything on the chart, yes",0
Roses are red violets stink your dad is beautiful to yotu smile see me before i become angle flying over yoto dad,0
Like rolling papes fo yo weed? Nope all out beautiful,0
"if selling I'd buy much more, not that ballsy (yet)",0
"Bob Stars: Text-Exclusive! 50% Off portrait purchase - no minimum, excludes discs. Show txt offer @ studio. Expires 7/10. Sit Code TX.",0
Baby callpls ive been cleanbye will do :),0
Just s'mores and hot dogs and if ppl bring stuff ,0
If not let me remote in,0
"Btw, what time are you getting back?",0
Nope ><,0
Does she want me to come sit with her,0
At symphony orchestra at central park by house if you have time let me no on computor,0
hen all parents want to do is have their noses in their damn phones!  Ugh!  Hope you are doing ok.  Are you and Samantha still on the outs?  I have not tal,0
Morphine ish funny. I laughed at my mom when she was on it. Glad to here showed no bleeding or tumor. Would be nice if they could find the source off her pain. How long they keeping her?,0
ghting in equations tables and graphs,0
Cool,0
Where is the line for weed eater?,0
Watching The VOICE,0
You and amber wnt to go to bdubs in chicago tnght,0
"Awesome, what kind of wine does she like? I got pilz dept covered (xanax & vikes)",0
Free T-Mobile Msg: Payment for $94.00 posted to your account on 04/03/2012. Details at my.t-mobile.com,0
How do you know betsy,0
I found it,0
My cough has made my chest hurt again. Not a good feeling. Make sure you rest and take care of yourself. We need you healthy and so does your mom. Worried about you.,0
(RE:)Ok 4sho i will u got any herb?,0
"Yeah, you got something else going on later?",0
Did you go south? We are at mile Ethaner 150. Going about 65 miles per hour. You should catch us soon.,0
"Bonfire tonight at 9pm if u guys wanna come, we'll have some hydro",0
What cymbals are you planning on bringing?,0
Sounds like she has a cold so no beer tonight :(,0
What is your email address.,0
Ok. I'm at home and will try it through the database. Thanks,0
Doing anything tonight?,0
Ahhhh shoot wrong person lol,0
Ok see in a few,0
I love you and am worried about you.,0
Who had it? Ryan?,0
You're welcome,0
hat time should I go there to stand in line,0
Dinner plans sorry,0
Then export as PDF ,0
Jeff Smith commented on your status:,0
"I think that is about 30 minutes away. You guys are welcome to stay at my house if you want, I have two extra rooms and I won't be home ",0
I'll be back in the area around 1pm,0
I heard,0
We are heading out,0
 She's a loser. She's ignoring me today so I don't come next door and bug her. She probably has to get to the beach by noon...  I'll be down around 3...I hope.,0
No problem.,0
I have two tix for the train.  We were going to take the south shore for Jeffs b~day and we ended up driving instead~ do you want them?  lucy,0
I shoot up heroin,0
Incoming,0
"Wanted to see how your new life is going. job, marriage?",0
Hey bud what u guys wnt to do,0
Thanks mom,0
"Not sure, gotta see what amber has planned",0
Nope,0
I need to cancel tonight.,0
Running late had to meet with my group for class,0
"Well, they were eating dinner and i didn't want to distract them and they get into trouble. Don't want to break any rules. Besides, are we not entitled to eat?",0
hey i got kicked out of my dadas house last night. had no sleep and im at a hotel now.,0
No on vacation,0
She thought it was not ready to fall out.,0
I wil be there,0
You must still be there. Does meijers price match? I had to get a rain check on the pool target was out today but meijers is supposed to carry acording to web site.,0
Sorry I was cutting grass,0
on my way now. we r hauling jacks things back and cannot go over 55mph so it will b late this evening,0
"Iwill take her, do not worry - just share some of package with me around 420",0
Hey Bob. Traffic was agreeable so I made it early. Are you available or should I wait to come in?,0
What r u doing I just woke up I got a head ache boo,0
We are out of the construction already,0
Thank You Jeanette. I passed my exams. I get my Master's in computer science on May 20th.,0
I need to eat more than apples. But want to lose wait. No harm at all. Just trying to keep.everyone happy is making me sick. Maybe that will change  soon. Talk soon.,0
she gotta have blow or crack ok?,0
Susie Niles commented on your status:,0
"Got 15.6 gallons of gas last night.  Not a long wait, either~thanks to you!  lucy",0
Cool!,0
Which one?,0
K,0
I can't hurry it at this point.,0
I cant give you leSsons or ?smile miricle do happen.love !,0
Nope. Nothing showing up.,0
What are the dates you are going to DC again?,0
Thanks cindy and don't worry about it. Every family has its issues. I just hope tings keep getting better for you guys. Thinking of you. Love you.,0
Lol yup,0
Yeah that will work fine,0
Thx...ill pass it along n see what she says.,0
"Yes, I thought that I indicated I wouldn't be taking it with me tomorrow so you would have time to do the VMWare stuff and then contact Tim Smith to see if he",0
"I have free tickets to take the kids to school's learning center to see a laser light show. It starts at 6:45 pm. I want to be there no later than 6:15 so we can ensure we have seats together as the room is not that big. If you want to drop them off early, i am ok with that. Just let me know what time. You can have a night to do whatever you want. I just need clothes for them on Sunday so i can also get their pictures done.",0
I owe u lunch. U in the area?,0
Of course,0
Have you placed that catalog order?,0
On my way.,0
Love and miss you to,0
Let me know if your interested becuz I have someone coming tonight to look at them.,0
"Good morning, I woke up this morning not feeling very well so I will be a little late. I will be in as soon as possible",0
I was just trying to ask what is an OFF? Thought it was Oldest Friend Forever,0
Incoming,0
Do I have anyone available to punch?,0
Incoming,0
Timmy is out.,0
Thank you for your help im very gratful one day at a time,0
Made stuff pepper soup for a chilly Nebraska day!,0
"Thats cool, you interested in seeing movie tonight? Ok, what's gonna change?",0
I'm listening,0
(RE:)Im still n gas city im waitn on my bro 4 sumthin rdal quick i do miss u sexy,0
Hey! What are you guys up to later?,0
Many undergrad are 7-10,0
Np,0
Ya that will save you a little money since you won't have to pay again,0
Cool do I need to bring the charger with it?,0
Didn't see it yet,0
.jack like we both know thats a joke and ur gonna talk shit bout me and bobby being heroin junkies lmao i got scripts and get ,0
it gonna cost u,0
See if it is stacked on other one,0
"If you are up to it. If you need sleep, i understand. Mom is napping now. She is so funny.",0
Ok. I will be there after my meeting with jim. He is due back here around 1 pm.,0
(2/2) s Amanda doing?,0
Kewl,0
Thank you Larry,0
K so the twnty third,0
He can come too if u guys get bored,0
Can we do 6pm?,0
Late,0
I pick up a charge on Monday for all of the damage they did to our account.  Ford asked if I was going to write them a check again for the $2450.  I told,0
Incoming,0
Should consider docs in Chicago.  I find that sw suburbs docs suck.  Research lung docs.,0
Nothing for me for other students,0
is able to install the Banner and Advisor Query on the Windows side.  So yes keep it and enjoy.,0
Martha Washeck commented on your link:Yes I always BELIEVE and I dont believe that GOD or the ANGEL...,0
do you have any large boxes at work? I have to ship something 4feet long 1foot wide and 6inches tall. I could make a box but I don't really have anything,0
"I haven't gone yet, are you going?",0
Cool,0
work 4 that was on it and try to get backup software to play nice with it.,0
Taking day off,0
I saw Ken like the playboy bunny :),0
Ok,0
U called me a minute ago but no one talked,0
"She needs to transfer contacts out of an old access db into her gmail. Dual monitors helps. Windows on the right, Mac on the left",0
Do ypu know a dr. doe or something like that from university of chicago? I think that is who michael said told him a few months ago that rachel applied there and was a serious candidate for tenure professorship.,0
"Im up we plan on leaving here at 1:30, should be sunny and 57 up there",0
Yeah sorry to hear that. see ya in a bit,0
Ok. Thanks.,0
"I work until 11. I'll be there, I promise!",0
Awwww Bummer! ,0
Yeah! Fo like 2 wks now,0
Kewl lol. They're good,0
(RE:)I misS u,0
"Nope, nothing public",0
Update?,0
Do not understand? Do the sides come nhooked?,0
K locking up,0
Didn't get that message,0
My life is transformed as my mind is renewed. If this possible? Smile think postive love your beautiful wife.+dad,0
I think 530-8,0
"chicago, not far",0
I will do my beat to get it functioning and over to Jake. See you on Friday,0
(RE:)Thats wats up n so do i mayb hf itr cool ill come thru 2nite ctz we gotta talk ne ways,0
K almost there,0
Have mom call Momma Amanda. Very important. Grandpa is back in icu.,0
A book arrived this morning via postal mail. On my chair.,0
K where at friends,0
Jessica boys brother jake shot last nite.isnt that fuckd up.the kid who shot him jus drove off n left him to die but they arrestd him,0
Ok thank you,0
Sure throw a price tag on your head and come on over ,0
Dude! So did you get a message from sarah about playing for the summer retreat?,0
(RE:)Hell ya thats wats  tp momma n joel is good n 2 smart not havin a dad grown up is very hard n leaves scars,0
"K, by the way a couple recruiters came to our school, it was pretty badass hearing them speak",0
K,0
Thank you.,0
I put note in my calendar to talk to amber about it tomorrow,0
Thx,0
Well you do your line on the table and ill toke my marijuana,0
haha I figured I'd convince you,0
Ur welcome,0
Are coming to the meeting tonight?  I should be there around 5:15.  Is Michael there?,0
How do doe's students hit his server,0
Yea we are getting dribbled at mile marker 75,0
"Just landed in Vegas, out for today and next week",0
Must of been a glitch.,0
Another buddy is joining us,0
Good,0
Can you give me a quick phone call. 5551212,0
We r leaving Friday morning,0
The problem was I was running 'project' which is a Matlab function and not Project.m the name of the script.,0
Did you delete your fb account?,0
Hey bonfire,0
ass.agai.just want ur ass.in check u dumb crack whore cunt,0
Sorry lol. S'all good,0
"BOB!! What are you doing? Jane decided to have a BBQ at her house tonight. I'm headed there now. If you're free, come on down! I think Mike is coming. Br",0
Yeah man. Want to meet up around 3pm?,0
"Ahh ok, I may gave to either leave late and meet you put there, or leave early, I am not sure I can miss two Sundays in a row.",0
I am hungry .. Munchies haha .. Joint and a burrito please,0
didnt see the post i tagged you in?,0
K,0
Prayers were for your mom to make it through the night and you to get some rest. I hope they were answered. How is mom?,0
so is acid for that matter,0
Hey sister what you doing?,0
Dunno yet,0
Send me the encryption email again thks,0
Yes,0
In about an hour lol,0
Yes I probably said happy Easter earlier,0
Hmm settings are right?,0
Yes I will figure out a way to get it out of the house. The battery life on this thing is not good at all (I think it's on it's 3rd battery? But that one,0
"I need some vikes, this pain sucks",0
"Yes, i am using aim with my guys.",0
Won't make it tonight,0
"I can come now, but if u want to come around 5:30 u can have dinner with us",0
Love u,0
As soon as that's up I'll log in... It's always something,0
Lol,0
Ok I'll give it a shot thank u,0
Coo,0
Smile i pray to be an angle one day wow me flying in jet over you we are in a advance world of tex!,0
Bob call when you can about party,0
"Hey cindy, this is Cindy I will bed running a little late but I will be there as soon  as I can make it",0
People should not be events,0
"Not sure. I have a vpn account, but cannot remember the url. Let me see if there is a link off the web page.",0
Thx,0
That does not surprise me.,0
Get out of bed. I am sick of hearing it from gram.,0
Dead number... Arg,0
A right angle? Or an acute angle?,0
Ok. And you need it for what?,0
Sounds good. We'll make plans next week,0
Muah..and big birthday hug,0
Leaving for the day. Feel free to stop by if you want while i am gone. Tired of waiting.,0
Yeah we already ordered and got food lol,0
Who lived on main st that turned lesbian?,0
I just ran into mike smith in bldg A.,0
Where is that at?,0
123 main st,0
Thanks for a nice time this morning!,0
K,0
I very much appreciate amberney for the ride today! You are very blessed to have a beautiful ladie as amberney.we need funeral argement made for me.love  k.i,0
Play three sevenens.say a prayer and believe do push ups with wife and you will see a smile.some things i can't teach you. ,0
Now your up a creek with out a paddle!,0
She was eating her cookie when it fell out.,0
Hope u get  some answers.,0
Any update on Tom?,0
We were coming to help with the trash but while we were down getting the mattress you took out the cans...sorry but I didn't know you were gonna do that,0
Awww ok,0
Cool checking out,0
"ok, thanks. see you then.",0
"No, we r going to a beer festival today",0
Like 10,0
Got it,0
Ok. I will talk it over with grandma.,0
"I called her, it's all good now",0
Huh?,0
"Me too, thanks again",0
Not while with me. They were in the pool daily. There was not enough time to bathe each night and have them in bed on time.,0
Ok.,0
Incoming,0
Are we going to wrigleyville? I am punching out now.,0
Do you think that Tom knows something and told them not to say anything to her?,0
Bonfire tonight at 9pm (again),0
What time were you heading this way today?,0
You want his new book?,0
Worried about you. Is everything ok with you?,0
We are at exit 70. Almost to your rest area.,0
We are inside behind the industrial building. South east enterance,0
Opps,0
"Texts, not Ezra ",0
Parking lot,0
(3/4)  in instead and just take a day of leave.  At least I got some hours in this week with the conference calls.  That helps.  I still have 80 hours of leave,0
Ok  count me in,0
Id like to if you have room,0
"Just saw this, my bad. We laid down around 10:30 figuring nothing more was gonna happen. What tu doing today?",0
Thanks dood! :),0
Want me to call when I'm done?,0
You in Chicago?,0
Resolution is actually fine,0
78 viruses so far.,0
Will do.,0
"I adjusted permissions on team 2, team 3 and team 4 folders. What permission issue were you having that Bob addressed?",0
Can't talk on phone right now. We just talked yesterday? Is it something urgent?,0
Thank you. If something go wrong let me no if i can help?,0
"She is sitting up, but has been asleep since we got here.  She is very confused, doesnt make sense much when talking. Doc is supposed to b on his way to talk to",0
Keeping mom over night for observation.,0
Yes,0
It that OK with you for a few hours then???,0
Lol ,0
"That's only for WPS enabled routers, should be another way for entering password",0
"I'll try, i'm kinda in an academic predicament so we'll see",0
930 tonight who's on who's out,0
asnt gonna bc then everyone gonna know my hand was all over loook in ur shit.but u wannt to lie bout€smith to me fucking.,0
"Keep your heart with all vigilance, for from it flow the springs of life. -Proverbs 4:23         dad  iewu",0
"No prob, I appreciate it. How's vacation going?",0
Fresh chilly on stove,0
k but this chiva be black tar he experienced?,0
Ok no problem,0
He said he walked too much that he must have walked it off.  Lol,0
that's what they said. grandma told mindy to call Amanda and ask if she could come over so when she got here she took mindy upstairs,0
Best buy pushes them,0
Maybe not,0
Free T-Mobile Msg: Payment for $94.00 posted to your account on 04/03/2012. Details at my.t-mobile.com,0
Happy Father's Day.,0
Ok timelines are kind of a pain to do with all the different connections and being able to move it all around,0
I release what does not serve me and freely claim my good. THat is you? DAd,0
Where is the muzzle?! We can never find it when we leave it by the door...,0
Hey whats up can u do anythng tnght,0
Sure,0
"Ann said for $80: You get an oral exam, cancer screening, X-rays, polishing, and fluoride",0
I ak ok. Working on homework. Amanda not so good. She has to find a roommate  or face losing her house.,0
That might just mean ur mail got hacked ,0
Resolution is good,0
Doctor was good speaker who presented the outcome in terms she could relate to.,0
"Hi~we are in california for a few days, home by Saturday night.  I catch the 12:46 in Chicago.  Let me know if you can take that one.  Sure do mi",0
Ok sweet!,0
I wish I was there to see her in it.,0
No biggie,0
Sweet!,0
"I never worry, would I be able to get it sometime tomorrow afternoon? I'm planning on working a half day and heading to chicago sometime.",0
"Sweet, on the way",0
got the sad message. r u coming to the reuion,0
Upgrade. I cannot just upgrade it too big of version difference.,0
K,0
Ok.,0
You could also check with Hector Chavez  What is 30 days?,0
What do you wanna do for the pictures tomorrow?,0
Ok. I'm guessing that's a different department than you? Can you give me any specific contacts and would it help to use you as a reference?,0
Please call me when you get this message 5551212 cindy smith,0
no no man I just smoke weed now,0
I am not home yet. Shipment tax applies :P,0
Trying to see if my efforts paid off. Yes. I am in the database.,0
Yes but not sure what is going on today,0
Back at you.,0
Kewl glad to hear,0
Ok,0
"Sorry man, I laid down and crashed for several hours",0
No news yet.,0
Trying to text him to find a time to meet up with him,0
$695/mo,0
"No man, I quit. No more herb for me.",0
Dunno,0
Congratulations cindy! Your Graduation Photos are now available online. Go to www.gradimages.com and enter your last name smith and customer # 123456789,0
Sounds good,0
Oh well,0
So funny. Mom and Amanda knew she would love it when they saw it. Then it went on sale the day after they bought it.,0
Oops it's Wednesday,0
It first must be enabled in settings,0
Samantha is at the hospital with Bob. He split his eye lid open.,0
Click add computer,0
Yes,0
I did some side jobs this week.,0
Incoming,0
Practice is going with 3 girls right now,0
Never mind I'm now in. Thanks,0
Incoming,0
Just found email where I mention his name but no contact info,0
beer:thirty?,0
Not that I know of which is why Michael still mows...we help with the trash...and we help with our dishes.  The only thing I've been slacking on is the cat,0
Have you tried to call them for trouble support?,0
Lol. Sorry,0
Lol it depends on how busy we are,0
Now Caleb is working on swapping pizza for elephant ears. Not wanting to leave the fair tonight.,0
Smile christ loves you. I love you more.i love your beautiful wife to.christ loves her to. I just pray with him.love a ,0
K,0
"In California, out",0
"That will be fine. That is why i have not come up there. I know your mom does not care for all that attention when she is not feeling well. She needs her rest, not frustration and agitated by visitors.",0
"Hey team, I won't be in class tonight cos of a business meeting. ",0
Ill try n see if neone is in operations who can let me remote in,0
Hey sweetie since u wanna talk shit bout me and bobby ur totally fucked should of realized my ipad recorded everythung.f,0
"Are u in class? Not, ate.",0
Lol I made the fish andchips,0
sure it's not your laptop to try different laptop,0
"Yew, I can give you an employee referral. I will see if it is working for Mike Smith",0
Saw u called. Was sleeping. Sup?,0
We have a table right inside the door.,0
hey u still got hookup for smack?,0
Oh ok,0
Damn thats crazy. How r they doin?,0
That is awesome,0
Relaxing at home ,0
Waiting to hear from her on the wine selection as well.,0
Pic of kids pretending to row a boat.,0
"Ok, I am gonna be tied up til about 8 or 830 though, but you are welcome to hang with tim at the house, or you can do some work at the church or something, is ",0
Does Rachellike red or white wine?,0
Are you home? We are still in our dept meeting.,0
k,0
"Looking for missing lock and lock containers. if you have any of my containers, please return them soon. I only have like three leftover size containers that i can find. I had many sets, now i have almost nothing. Thank you.",0
The kids said you mentioned them staying tonight?,0
"I guess your Internet is down, that is the problem haha",0
I need a letter from you and bob. Giving you both permission medically over me and to let me go.,0
friend of urs or a snack to share?,0
Love. From .,0
Haha nice,0
Geeze I already miss u. I love u ,0
ey r so cheap.,0
I'm so jealous,0
mindy's jersey is here and so is a box for you.,0
Exactly,0
Ok. Just for the night. Are you driving home?,0
Looking like closer to 6:15,0
 U guys here?,0
man I keep my friends close and my skag closer,0
Seems to happen a lot around this time lol,0
We got a bunch of vikes too if u don't have a lot,0
"Samantha said to text you or her when i could, what's up?",0
Biopsy = benign. Out of surgery,0
Oh that's a cool screw tracking method!,0
Glad you found them.,0
Can i swing by?,0
Hey I stopped here in Peoria and I'm only 2 hrs away. I can be up there around 10 or so. Will that be ok with u,0
Hmm that sounds good,0
Prove it when you taking me out for dinner,0
It's snowing,0
"Lol, u caught that ;)",0
"Ok, I'll call you when we're on the way",0
We are at the fairgrounds. Please let us know where to meet up. We are parked by the livestock and walking into the fair.,0
Awesome,0
"Well just jung up with lawyer, he now wants permission to turn records over to nurse to read over. See what she finds, says gibe him a cople wks again.",0
(2/2) u more stay sexy my love and lay off those tranqs!,0
Ok thank you sir,0
I might even have to throw in some XTC,0
He is feeling better already.,0
"I didn't know u had a new crib, dawg",0
Ugh I wanna go!!!!,0
"Me too, is a new discovery for amber ",0
hey i accidently took the 410 key. i work in the morning is that ok?,0
Nice job.can you bring in your code reader for cars tomorrow. I need to reset a code on the truck.,0
"Ok cool, not sure when we are leaving yet, but I will let you know",0
Gabby s # is wrong,0
"On Thursday, dont forget to pick up the kids insurance cards and your mail.",0
Is it ok if we cme over nw,0
I'm in the kitchen,0
Cool.thank you.,0
K :),0
School started,0
Roses are red violets are blue. I send my beautiful love to all of you. Smile christ loves the both of you too.,0
"Hey bud what u and amber up to tnght, I got some skag",0
Ok. See you soon.,0
You wanna go to chicago again tonight?,0
I have three nested ones. Are they yours.,0
Did it have red lights or green?,0
Game just canceled ,0
Lol,0
Hey bob just curious when you might have a chance to swap out hard drives on Tina's laptop. (I'm trying to figure out a way to do it without her knowing,0
it works,0
Call me dad,0
Yes i am. Very. I am excited to see you. Conference is at 123 michigan ave. Know where that is?,0
I might even have to throw in some XTC,0
"What next?  We need to do a cleansing or something at your house~holy water, candles and prayers.  Let me know how he is.",0
Hey i will be in town tonight. Should b in by 4pm,0
"Ok, so no point in attending?",0
I forgot to ask. Let me find out,0
We are all pretty full,0
"No, whereis he",0
hey devon I need some nose candy,0
Hey can u send d screen shots of ur part to me? Tom needs our team's screen shots,0
Hmm let me look,0
They must be down,0
chicago was sold out weeks ago,0
"Just finished, but I'm pretty tired man",0
Thanks for having lunch with me. I enjoyed seeing you.,0
"At my mom's, u aren't coming home tomorrow?",0
Would you trust me with your bank login info???,0
I'm hoping it will at least be pending today that way maybe it will clear tomorrow morning :-/,0
Out of town,0
"U copy it to a new chart, change the identity, then copy it back into your chart",0
"Hey, I think 26 is too much I'm Looking for one for my roomy thanks thou",0
Lol IM 4 REAL baby,0
Are u back in town?,0
Good news.....tony was a 4 with his MS and today he went down to a 3.5 which is awesome!!!!,0
U want to go out later on at bdubs tnght,0
ok keep me posted please,0
I hope you and you family have a very Merry Christmas and Christmas eve!,0
gotcha ill get some blow fo sho,0
My life has never been harmony.you get up and say thank you christ for today and tell your love ones i love you! Dad,0
Aww that sucks,0
"So, I take it she likes it?",0
"Kewl, no prob",0
How did timmy and mindy do in soccer today?,0
"Yea, the brewery in chicago?",0
K hw about tmrrw nght,0
"ivory bath salts, now comes in zombie variety",0
Yeah I'll call John on Tuesday (I know who he is),0
"u poppin tranqs again? Vikes? Percs? Xanax? I told you to be careful with them pilz, but I might pop a few myself tonight",0
How much do i owe you. Not sure what tickets cost these days.,0
julie said suck up...youre still not getting a raise ;),0
I can get in .,0
Might be tuff to buy on sunday,0
Off the respirator. Woo hoo.,0
We just finished if you would like ti try it out.,0
"Network is weird today, everything is sluggish, them keeps losing dongle, multiple computers just are slow when logging in and accessing network resources ",0
Wheel chair is in the garage.,0
"Hi cindy, this is Marsha I'm running late I will be there soon",0
He is coming to my house. Why?,0
Geeze I already miss u. I love u ,0
